channel_id,channel_name,priority_score,simulated_tier,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d,estimated_daily_refreshes,estimated_weekly_refreshes,risk_flag,reason_summary
UCmcaWjd3HNecmp_7ubgXFYw,UCmcaWjd3HNecmp_7ubgXFYw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCkUUr13dVO1NZzBNC820uBw,UCkUUr13dVO1NZzBNC820uBw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCbKyC8pIf5PFhbNGRB6KxMA,UCbKyC8pIf5PFhbNGRB6KxMA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCpy5BtsYDQvag2zCIiQ5kpQ,UCpy5BtsYDQvag2zCIiQ5kpQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCrZDRWsJCl_k21egBmeCBfA,UCrZDRWsJCl_k21egBmeCBfA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC1fo3eLz5OHdESToJALBTTg,UC1fo3eLz5OHdESToJALBTTg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCGnjmquLf7QLzHAy_Ouilig,UCGnjmquLf7QLzHAy_Ouilig,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCspv01oxUFf_MTSipURRhkA,UCspv01oxUFf_MTSipURRhkA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCb0cQUZ9Vt7VRXliwEk4-IA,UCb0cQUZ9Vt7VRXliwEk4-IA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCb2qQIwjDIEksXPhkEbsI8w,UCb2qQIwjDIEksXPhkEbsI8w,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCSWjapiC1YQqj3pKqlydLRQ,UCSWjapiC1YQqj3pKqlydLRQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCAC9fgoX5gLiSmrCF5bI3YQ,UCAC9fgoX5gLiSmrCF5bI3YQ,20,active,0,0,0,24,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UCqump3GnbDPHHoyzuXrStHg,UCqump3GnbDPHHoyzuXrStHg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; no_upload_14d; growth_7d_lt_10000
UC_xVf05_rmR1WyCSHzam6Hw,UC_xVf05_rmR1WyCSHzam6Hw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCLtAABfY-m8dR7TBFn_JMGw,UCLtAABfY-m8dR7TBFn_JMGw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCF9XO-mLESCdG5dlulx1ROg,UCF9XO-mLESCdG5dlulx1ROg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCONtwJdE7A68l1eCjf8k4jQ,UCONtwJdE7A68l1eCjf8k4jQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
